ID,Adjacent
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-34-35-101,107
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-34-35-101-104,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-34-35-101-104,107
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-34-35-101-104-107,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-34-35-101-107,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-34-35-101-107,104
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-35,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-35,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-35,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-35-101,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-35-101,107
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-35-101,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-35-101-107,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-29-33-35-101-107,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-101,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-101,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-101,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-101,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-101,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-101,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-101,104
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-101,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-101-104,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-101-104,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-101-104,35
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35-101,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35-101,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35-101,104
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35-101,107
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35-101-104,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35-101-104,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35-101-104,107
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35-101-104-107,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35-101-104-107,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35-101-107,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35-101-107,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-34-35-101-107,104
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-35,21
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-35,101
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-35,29
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-35,34
1-2-3-4-5-6-11-12-13-14-15-16-17-18-19-20-22-23-24-28-33-35-101,21
