Strategy,TeamID,PlayerID,SessionID,Generation,TeamStatus,SessionStatus,Notes
Isolated,G261,P832,S744,1,valid,valid,NA
Isolated,G261,P832,S775,2,valid,valid,NA
Isolated,G261,P832,S813,3,valid,valid,NA
Isolated,G261,P832,S832,4,valid,valid,NA
Isolated,G263,P839,S746,1,valid,valid,NA
Isolated,G263,P839,S766,2,valid,valid,NA
Isolated,G263,P839,S821,3,valid,valid,NA
Isolated,G263,P839,S839,4,valid,valid,NA
Isolated,G266,P840,S764,1,bad_compliance,valid,NA
Isolated,G266,P840,S808,2,bad_compliance,valid,NA
Isolated,G266,P840,S823,3,bad_compliance,valid,NA
Isolated,G266,P840,S840,4,bad_compliance,bad_compliance,On her phone in Pt 4
Synchronic,G107,P231,S231,1,valid,valid,NA
Synchronic,G107,P232,S232,1,valid,valid,NA
Synchronic,G107,P233,S233,1,valid,valid,NA
Synchronic,G107,P234,S234,1,valid,valid,NA
Synchronic,G110,P243,S243,1,valid,valid,NA
Synchronic,G110,P244,S244,1,valid,valid,NA
Synchronic,G110,P245,S245,1,valid,valid,NA
Synchronic,G110,P242,S242,1,valid,valid,NA
Synchronic,G112,P248,S248,1,valid,valid,NA
Synchronic,G112,P249,S249,1,valid,valid,NA
Synchronic,G112,P250,S250,1,valid,valid,NA
Synchronic,G112,P251,S251,1,valid,valid,NA
Synchronic,G114,P255,S255,1,valid,valid,NA
Synchronic,G114,P256,S256,1,valid,valid,NA
Synchronic,G114,P257,S257,1,valid,valid,NA
Synchronic,G114,P258,S258,1,valid,valid,NA
Synchronic,G123,P273,S273,1,valid,valid,NA
Synchronic,G123,P274,S274,1,valid,valid,NA
Synchronic,G123,P275,S275,1,valid,valid,NA
Synchronic,G123,P276,S276,1,valid,valid,NA
Synchronic,G125,P281,S281,1,valid,valid,NA
Synchronic,G125,P282,S282,1,valid,valid,NA
Synchronic,G125,P283,S283,1,valid,valid,NA
Synchronic,G125,P284,S284,1,valid,valid,NA
Synchronic,G126,P285,S285,1,valid,valid,NA
Synchronic,G126,P286,S286,1,valid,valid,NA
Synchronic,G126,P287,S287,1,valid,valid,NA
Synchronic,G126,P288,S288,1,valid,valid,NA
Synchronic,G127,P289,S289,1,valid,valid,NA
Synchronic,G127,P290,S290,1,valid,valid,NA
Synchronic,G127,P291,S291,1,valid,valid,NA
Synchronic,G127,P292,S292,1,valid,valid,NA
Synchronic,G128,P293,S293,1,valid,valid,NA
Synchronic,G128,P294,S294,1,valid,valid,NA
Synchronic,G128,P295,S295,1,valid,valid,NA
Synchronic,G128,P296,S296,1,valid,valid,NA
Synchronic,G130,P301,S301,1,valid,valid,NA
Synchronic,G130,P302,S302,1,valid,valid,NA
Synchronic,G130,P303,S303,1,valid,valid,NA
Synchronic,G130,P304,S304,1,valid,valid,NA
Synchronic,G131,P305,S305,1,valid,valid,NA
Synchronic,G131,P306,S306,1,valid,valid,NA
Synchronic,G131,P307,S307,1,valid,valid,NA
